Year,Player,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad_Jump,3Cone,Shuttle,School,Conf,Class,G_season,Rec_Season,Rec_Yds_Season,Rec_Avg_Season,Rec_TD_Season,Career_Rec,Career_Rec_Yds,Career_Rec_Avg,Career_Rec_TD,NFL_Years,Average_AV,AAV2
2004,Roy Williams,22,49,Texas,74,212,4.48,,,,,,Texas,Big 12,4,13,70,1079,15.4,9,241,3866,16,36,8,6.125,37.515625
2004,Reggie Williams,20,25,Washington,76,229,4.56,,,,,,Washington,Pac-10,3,12,89,1109,12.5,8,238,3536,14.9,22,5,5,25
2004,Lee Evans,22,56,Wisconsin,71,197,4.39,34.5,,120,,,Wisconsin,Big Ten,4,13,64,1213,19,13,175,3468,19.8,27,8,7,49
2004,Michael Clayton,21,24,LSU,75,209,4.67,32.5,,116,6.77,4.09,LSU,SEC,3,14,78,1079,13.8,10,182,2582,14.2,21,8,3,9
2004,Michael Jenkins,21,46,Ohio State,74,218,4.4,,,,,,Ohio State,Big Ten,4,13,55,834,15.2,7,157,2746,17.5,16,9,5.111111111,26.12345679
2004,Rashaun Woods,23,1,Oklahoma State,74,202,4.47,39,,125,6.93,3.97,Oklahoma State,Big 12,4,13,77,1367,17.8,15,293,4414,15.1,42,1,1,1
2004,Devery Henderson,21,41,LSU,71,198,4.41,,,,,,LSU,SEC,4,14,8,37,4.6,0,83,433,5.2,3,9,4.555555556,20.75308642
2004,Darius Watts,22,4,Marshall,73,188,4.5,,,,,,Marshall,MAC,4,12,74,968,13.1,11,272,4031,14.8,47,2,2,4
2004,Keary Colbert,21,15,USC,73,207,4.6,30,,,,,USC,Pac-10,4,13,69,1013,14.7,9,207,2964,14.3,19,8,1.875,3.515625
2004,Derrick Hamilton,22,0,Clemson,75,196,4.54,,,,,,Clemson,ACC,3,13,62,1026,16.5,10,163,2218,13.6,15,1,0,0
2004,Bernard Berrian,23,36,Fresno State,73,183,4.58,38,,128,7.34,4.18,Fresno State,WAC,4,14,63,668,10.6,4,191,2682,14,23,8,4.5,20.25
